Country,Any_mandatory_MF_LF_filing,MF_deadline,MF_filing_req,MF_threshold,LF_deadline,LF_filing_req,LF_threshold,CbCr_notification_deadline,CbCr_filing_deadline,CbCr_threshold,Local_TP_reqs,Local_TP_reqs_deadline,Other
Moldova,Yes,,No,,Within six months from the end of the tax period,Yes,MDL20 million (for report upon request); MDL50 million (for annual submission),,Not applicable,"Yes, documentation (Local File/Report) required for transactions above MDL20M (on request) or MDL50M (annual submission). Stand-alone reports for MNE entities. Local language (Romanian) required. Transfer Pricing Information form required.",Transfer Pricing Information form by 25th of 3rd month after tax period end. Transfer Pricing File by 6 months after tax period end (for >=MDL50M). Transfer Pricing Report within 60 days of request (for MDL20M to <MDL50M).,"Public CbCR applies from 1 Jan 2025 (threshold MDL15.75B global consolidated income, or MDL127.2M sales for local entities). APAs available from 1 Jan 2025 (up to 5 years, roll-back). Penalties for non-compliance. Statute of limitations 4-6 years. Tax authority can adjust to median. Domestic transactions under same tax regime are exempt.",
Mongolia,"Yes, for qualifying entities",10 February following the year-end,Yes,MNT6 billion annual turnover (or foreign-invested company/PE irrespective of size),10 February following the year-end,Yes,MNT6 billion annual turnover (or foreign-invested company/PE irrespective of size),10 February following the year-end,31 December (within 12 months of group financial year closing),EUR750 million annual global income,"Contemporaneous, annual, stand-alone TP documentation (Master File, Local File, CbCR) required for qualifying entities. Local language (Mongolian) is mandatory. An annual Transfer Pricing Transactional Report is also required. Based on General Taxation Law and Corporate Income Tax law.",10 February following the year-end (for most documentation and the Transactional Report),"Domestic transactions require TP documentation. Severe penalties for non-compliance (2-4% of transaction value for non-filing, 30-50% of due tax for adjustments). No CbCR MCAA signatory. Economic analysis for significant transactions (various thresholds). CUP method preferred. Local comparables preferred, fresh benchmarking annually. No APA. Thin capitalization rules (3:1 D/E, 30% EBITDA interest limit). Statute of limitations is 4 years. Adjustments to median of interquartile range."
Montenegro,No,Not applicable,No,Not applicable,Not applicable,No,Not specified,No later than the day of filing the income tax return (31 March),31 December (within 12 months from the end of the MNE group’s reporting financial year),EUR750 million,"Obligation to prepare and file contemporaneous, annual TP documentation based on CIT Law and specific instructions. Stand-alone reports for multiple entities. Local language required. Safe harbor for interest rates. Related-party disclosures filed with CIT return. Abbreviated form for non-large taxpayers with intercompany transactions not exceeding EUR75,000.","Large taxpayers: with tax return (31 March). Other taxpayers: possess by 31 March; submission deferred to 30 June until 2027. From 2028, non-large taxpayers provide upon 45 days request.","OECD Guidelines largely relied upon. CbCR required, but BEPS Action 13 not adopted. Documentation for domestic transactions. APAs not available, MAP through treaties. No thin capitalization. Penalties for non-compliance with documentation (EUR1,000-EUR20,000). TP audits not common, but management/consulting services and large taxpayers are targets. Multiyear analysis, interquartile range, weighted average mandatory for benchmarking. Implicitly local currency (EUR) for documentation."
Mozambique,No,,No,,,30 June (preparation); 5-15 days upon request (submission),No,Not specified,,,,"Yes, annual documentation required, prepared contemporaneously (within 6 months after year-end). Applies to domestic transactions and local branches. Threshold: MZN2.5 million turnover. Local language: Portuguese. Specific TP return (Form M/20 Appendix I) required. Related-party disclosures in financial statements.","30 June (for preparation and TP return submission) / No OECD BEPS Action 13 implementation (no MF, LF, CbCR). Penalties for non-compliance (MZN6,000-MZN700,000). Thin capitalization rules (2:1 debt-to-equity ratio). Mining and oil & gas sectors more likely to be audited."
Namibia,No,Not specified,No,Not applicable,Not applicable,No,Not applicable,Not specified,Not specified,Not applicable - No filing thresholds communicated,"Taxpayers advised to prepare documentation (Practice Note 2/2006). Related-party disclosures (identity, nature, amounts, method) required with corporate income tax return. Documentation must be in English.",Related-party disclosures due with CIT return (7 months from year-end). Documentation due within 30 days upon request.,"No statute of limitations, but records for 5 years. 20% interest on late tax payment; 200% penalty possible, mitigated by good documentation. Thin capitalization rules limit net interest expense to 30% of tax EBITDA."
Netherlands,No (unless requested),31 May (extensions possible),Yes,EUR50 million (Annual global income),31 May (extensions possible),Yes,EUR50 million (Annual global income),31 December,31 December,EUR750 million (Annual global income),Corporate Income Tax Act 1969 and related Ministerial Regulations,Contemporaneous with transactions; Master/Local File by 31 May (extensions possible); 4 weeks upon request for others,"Penalties for non-compliance with Master/Local File (up to EUR10,300, criminal offense possible, burden of proof shift) and CbCR (up to EUR1,030,000, criminal prosecution possible). APAs (unilateral, bilateral, multilateral) and MAPs available, with roll-back provisions. Public CbCR applicable from FYs starting on or after 22 June 2024, threshold EUR750 million, lodged with Chamber of Commerce, penalties up to EUR25,750."
New Zealand,No,By tax return lodgment date,No,Not specified / No materiality limit,By tax return lodgment date,No,Not specified / No materiality limit,Not applicable / No notification required,Within 12 months of year-end,EUR750 million (NZ$1.3 billion),"Contemporaneous Master File and Local File documentation, annual preparation, BEPS disclosure form, thin capitalization rules, and restricted transfer pricing rules for financing.",By tax return lodgment date,BEPS Action 13 report alone does not guarantee penalty protection; English is expected for documentation; administrative practices exist for certain transactions; 7-year statute of limitations for TP; APAs available; no Public CbCR.
Nicaragua,No,,No,,,Upon request (10 days),Upon request,No,,,Not applicable,"Annual TP documentation preparation, stand-alone reports per entity, Spanish language required, submission upon request","Preparation by tax return lodgment date; submission upon request (within 10 days) / No OECD/BEPS Action 13 adoption; Penalties (e.g., 25% of omitted income); 4-year statute of limitations (extendable by 2); APA program available (regulations not enacted); No thin capitalization rules"
Nigeria,"No, upon request",21 days upon request (90 days for transactions below NGN300 million),"No, upon request",Not specified,21 days upon request (90 days for transactions below NGN300 million),"No, upon request",NGN300 million (for contemporaneous documentation exemption),Last day of MNE group's accounting year,12 months after MNE group's accounting year-end,EUR750 million (for MNEs with constituent entities in Nigeria) or NGN160 billion (for Nigerian-headquartered MNEs),"Master File, Local File, and CbCR are required. TP documentation must be prepared contemporaneously. Specific rules for royalties (5% EBITDA limit), commodity transactions, and UN document application. Annual TP return and related-party disclosures are mandatory. Thin capitalization rules apply (30% EBITDA limit for foreign connected person debt).","Contemporaneous preparation (prior to TP return due date); TP return due 6 months after company's year-end (or 18 months after incorporation for new companies, whichever is earlier)",OECD Guidelines are persuasive but domestic laws prevail. BEPS Action 13 format report does not guarantee penalty protection. APAs and MAPs are available. Statute of limitations is 6 years (no limit for fraud). FIRS prefers comparables from developing economies. Penalties apply for non-compliance. No Public CbCR.
North Macedonia,"No, only upon request",15 days upon request from tax authorities,"Yes, required to be prepared",Annual turnover > MKD300 million (approx. EUR4.8 million),15 days upon request from tax authorities,"Yes, required to be prepared",Annual turnover > MKD300 million (approx. EUR4.8 million),Not applicable,Not applicable,Not applicable,"Mandatory TP reporting for entities with annual income > MKD300M. TP documentation (Master-Local File) prepared annually, submitted upon request (within 15 days). Short report for non-resident related party transactions up to MKD10M, detailed report for > MKD10M. Stand-alone reports for each entity. Local language (Macedonian) required. Safe harbor for intercompany financing. Related-party disclosures required with CIT return.",TP documentation: 15 days upon request from tax authorities (earliest request 15 April following year). TP form: 15 March following year with CIT return.,"North Macedonia is not an OECD member and has not adopted BEPS Action 13 or CbCR. No APA available, but MAP is. Thin capitalization rules apply (loan > 3x shareholder interest for >20% shareholders). 5-year statute of limitations for TP assessments. TP audits are common, and adjustments to median value are possible if prices fall outside interquartile range. No PCbCR."
Norway,No,Not applicable,No,Not applicable,45 days upon request,"No, only upon request",Controlled transactions < NOK10m and intergroup outstanding < NOK25m; OR group < 250 employees and (revenue < NOK400m or balance sheet < NOK350m),31 May,12 months after fiscal year end,NOK6.5 billion annual global income,"Yes, detailed documentation requirements (e.g., operational model, history, industry, financials, FAR analysis, TP method, material changes, agreements)",45 days upon request,"TP documentation must be prepared contemporaneously, retained 10 years. Related-party disclosures part of annual tax return. Surtax (20-60%) for tax adjustments due to insufficient info. APAs available. No statutory thin cap rules."
Oman,No,,No,,,No statutory deadline; 30 days upon request,"No, but must be prepared and available upon request",,31 December (last day of reporting period),31 December (12 months after fiscal year-end),OMR300 million consolidated group revenue in preceding year,"No formal documentation submission, but documentation must be maintained and available upon request. Related-party disclosures required in tax returns.","Corporate tax return deadline (four months from year-end) for disclosures; documentation maintained contemporaneously. / Largely relies on OECD TP Guidelines. No APA program. Thin capitalization rules (2-1 debt-equity ratio). TP audits are common and aggressive. General penalties for non-compliance (up to OMR5,000) may apply for CbCR."
Pakistan,"No, only upon request",30 days upon request,Yes,PKR100 million turnover,30 days upon request,Yes,PKR50 million in related-party transactions,Tax return filing deadline (30 Sep or 31 Dec depending on FY-end),12 months after MNE group's fiscal year-end,EUR750 million global consolidated income,"Formal TP documentation (Master File, Local File, CbCR) based on OECD BEPS Action 13, governed by Various Income Tax Acts and rulings",Local File prepared annually-contemporaneously; Master File maintained; both submitted within 30 days of request,"Thin capitalization rules apply (3-1 foreign debt-to-equity ratio; interest deduction restricted to 15% of taxable income for foreign profit on debt if >PKR10m). Penalties for non-compliance. No APAs, but advance rulings possible."
Panama,"No, upon request",Upon request (45 days if requested),Yes,Not applicable,Upon request (45 days if requested),Yes,Not applicable,Within 12 months of the tax year-end,Within 12 months of the tax year-end,EUR750 million or its equivalent in local currency (as of Jan 2015 exchange rate),"Yes, documentation required annually, contemporaneously, in Spanish, stand-alone for each entity",By the transfer pricing return lodgment date (within 6 months of fiscal year-end),"Significant penalties for non-compliance (e.g., USD100,000 for CbCR non-filing, 1% of intercompany transactions for TP return non-filing). APAs not available. MAP available. Adjustments to median if outside interquartile range. Statute of limitations is 3 years."
Papua New Guinea,No,,No,,"By tax return lodgment date (28 Feb, with extensions to 30 June/31 July)",No,,31 December,12 months after MNE's reporting fiscal year end,PGK2.3 billion (consolidated group revenue),"TP documentation recommended; IDS required for related-party dealings > PGK100k or loans > PGK2m, disclosing transaction types, quantum, countries, documentation coverage, methodologies. Documentation generally not submitted unless requested, except for certain management fees.","Preparation by tax return lodgment date (28 Feb, with extensions to 30 June/31 July). Submission upon request (14 days) or with tax return for specific management fees.","Division 15 and 16A of the Income Tax Act (ITA) and IRC Taxation Circular No. 2011/2 are key regulations. Domestic transactions not subject to TP. Penalties for CbCR failure (up to PGK2m). No statute of limitations on TP adjustments. Thin capitalization rules (2-1 debt-to-equity, 3-1 for resource companies). MAP available, APAs not currently."
Paraguay,Local File,,No,,"Seventh month after fiscal year-end (July, depending on Tax ID)",Yes,PYG10 billion annual global income or operations with tax havens,Along with TP Local File submission (Seventh month after fiscal year-end),,"Annual Local File (Technical Study Report) and TP Return required in Spanish for entities with PYG10bn+ revenue or operations with tax havens. Stand-alone reports for multiple entities. Specific rules for agricultural commodities and comparables (e.g., rejecting loss-making comparables). Working papers must be filed.","Seventh month after fiscal year-end (July, depending on Tax ID)","Paraguayan Local Files must include Master File-like information (MNE group business, shareholding, functional analysis). Domestic transactions are subject to TP rules if not levied-exempted from CIT for one party. MAP available via DTTs. No APA program. Statute of limitations is five years. Adjustments to median of interquartile range. Agribusiness sector more likely to be audited.",
Peru,Yes,Mid-October (based on tax ID number),Annual revenue > PEN107 million AND related party transactions > PEN2.14 million,PEN107 million (annual revenue) AND PEN2.14 million (related party transactions),Mid-June (based on tax ID number),"Annual revenue > PEN12.3 million AND related party transactions > PEN535,000","PEN12.3 million (annual revenue) AND PEN535,000 (related party transactions)",October (or September for representative designation),October (based on tax ID number),PEN2.7 billion (annual global income),Benefit test for services; specific documentation for services; 5% margin limit for low value-added services; notification of pricing date for commodity transactions; individual testing of transactions; mandatory use of interquartile range; best method rule with CUP preference for commodities.,Up to shipment date for exports or disembarkation date for imports (for commodity pricing notification),"BEPS Action 13 adopted (Local File, Master File, CbCR). Documentation must be in Spanish and retained for 5 years or statute of limitations. Local branches and each MNE entity must comply. Penalties apply for non-compliance (0.6% of net income) and tax deficiency (up to 50%). APAs available (max 4 years, roll-back for bilateral from 2025). MAP available via DTTs. Thin capitalization rules (30% EBITDA from 2021). No Public CbCR."
Philippines,Local File filing is mandatory for certain taxpayers meeting thresholds.,Not applicable,No,Not applicable,30 calendar days upon request during audit (non-extendible 30 days),Yes,"Annual gross sales revenue > PHP150M AND total RPTs > PHP90M; OR specific RPTs (tangible goods > PHP60M, services/interest/intangibles > PHP15M); OR TPD required in prior year.",Not applicable,Not applicable,Not applicable,"Comprehensive TP regulations (NIRC Section 50, various RRs/RMCs/RAMOs) largely based on OECD Guidelines. Contemporaneous TPD required for specific taxpayers meeting materiality thresholds. BIR Form 1709 (RPT Form) must be filed with AITR by certain taxpayers. Domestic transactions are covered. MAP is available. No formal thin capitalization rules, but debt-to-equity ratio is audited.",TPD preparation: Contemporaneous. TPD submission: 30 calendar days upon request during audit (non-extendible 30 days). RPT Form (BIR Form 1709) submission: 15 April (or 15 days from ITR filing for eFPS).,"No Master File or CbCR requirements. Penalties for non-submission of TPD upon request (fine PHP5,000-PHP10,000 and imprisonment 1-2 years). General penalties apply for deficiency assessments. Statute of limitations is 3 years (10 for fraud). TP audits are common. APA guidelines not yet issued."
Poland,No,N/A (preparation within 12 months of year-end),No,PLN200 million consolidated revenues (and part of a group preparing consolidated financial statements),N/A (preparation within 10 months of year-end; 7-14 days upon request),No,"PLN10m (commodity/financial), PLN2m (services/other), PLN2.5m (financial with tax havens), PLN0.5m (other with tax havens)","3 months from fiscal year-end (e.g., 31 March for calendar year-end)","12 months from fiscal year-end (e.g., 31 December for calendar year-end)",EUR750 million consolidated revenues/costs,"Comprehensive TP documentation (Local File, Master File, CbCR) based on BEPS Action 13, with specific local requirements (e.g., TPR-C form, detailed Local File content, local language). Mandatory benchmarking. Safe harbors for low-value-added services and loans. Individual transaction testing. Related-party disclosures. Penalties for non-compliance. APAs-MAP available. Thin capitalization rules. Public CbCR from FY2024.",Local File preparation: 10 months from year-end; Master File preparation: 12 months from year-end; TPR-C filing: 11 months from year-end.,"Various Income Tax Acts and rulings govern TP. Documentation applies to PEs, partnerships, joint ventures. Local requirements are more extensive than BEPS Action 13- BEPS Action 13 report alone does not grant penalty protection. Statute of limitations is 5 years. High audit risk, with tax authorities able to recharacterize transactions. Public CbCR applies from FY2024 for groups with consolidated revenues > PLN3.5bn."
Portugal,"Yes, for Large Taxpayers Unit with EUR10M+ annual income.",15th day of the seventh month after fiscal year-end (or 15 July for calendar year-end) for Large Taxpayers Unit.,Yes,EUR10 million annual income (preparation); mandatory submission for Large Taxpayers Unit with EUR10M+ annual income.,15th day of the seventh month after fiscal year-end (or 15 July for calendar year-end) for Large Taxpayers Unit.,Yes,"EUR10 million annual income (preparation); mandatory submission for Large Taxpayers Unit with EUR10M+ annual income. Exemption for transactions < EUR100,000 per counterparty and < EUR500,000 total.",End of the fifth month following fiscal year-end (or 31 May for calendar year-end).,End of the 12th month following fiscal year-end (or 31 December for calendar year-end).,EUR750 million annual global income.,"Comprehensive TP documentation (Master File, Local File) based on OECD Guidelines and local Decree-Ruling 268- 2021. Annual preparation, local language preferred. Specific disclosures in IES return. Preference for local-Iberian comparables, 3-year benchmarking validity with annual updates, 20% independence threshold. Third-party responsibility statements for technical studies.",15th day of the seventh month after fiscal year-end (or 15 July for calendar year-end).,"Domestic transactions covered. No penalty protection for BEPS Action 13 format. Penalties for non-compliance (EUR500-EUR150,000 + interest). Statute of limitations: 4 years assessment, 10 years retention. TP audits common, adjustments to median. APAs (unilateral, bilateral, multilateral) available (4-year tenure, 2-year rollback). MAP available. Thin capitalization rules follow OECD guidance. Public CbCR applies from FYs starting on or after 22 June 2024 for EUR750M+ groups, with penalties."
Puerto Rico,No,,No,,,Within 30 days of request,No,,,,,"Yes, TP documentation is required to avoid 51% disallowance of intercompany expenses. Form AS 6175 must be filed annually with the income tax return, certifying the availability of a TP study. Documentation is submitted upon request.",Prepared by tax return lodgment date; submitted within 30 days of request. / TP rules modeled after US Section 482. Documentation can be in English or Spanish. Audited financial statements required for groups with combined business volume >= USD10M.
Qatar,Yes,Within 60 days after corporate tax return filing deadline,"Yes, if revenue or total assets >= QAR 50 million AND an offshore related party exists.",Revenue or total assets >= QAR 50 million AND an offshore related party exists.,Within 60 days after corporate tax return filing deadline,"Yes, if revenue or total assets >= QAR 50 million AND at least one foreign related party exists.",Revenue or total assets >= QAR 50 million AND at least one foreign related party exists.,No later than the last day of the reporting fiscal year.,Within 12 months from the end of the reporting fiscal year.,Annual consolidated group revenue >= QAR 3 billion (approx. EUR 700 million or USD 824 million) in the preceding fiscal year.,"Income Tax Law No. 24 of 2018 and its Executive Regulations (amended 2023) define related parties and require contemporaneous annual TP documentation (Master File, Local File, TP form) for entities with foreign related parties and meeting certain thresholds. Stand-alone reports for multiple entities are required. Transactions above QAR 200,000 must be disclosed and require benchmarking.",By corporate tax return lodgment date (within four months of the end of the accounting period).,"Qatar largely follows OECD TP Guidelines. English TP documentation is accepted. Safe harbor exists for related-party interest deductibility (max 3x equity). Penalties for late TP documentation (QAR 500/day up to QAR 180,000) and incorrect CbCR (QAR 500,000). Statute of limitations is 5 years. APAs are not formally available in the State tax regime but are expected. MAP is available. Thin capitalization rules limit related-party interest to 3x equity. No Public CbCR."
Republic of Serbia,No,Not applicable,No,Not applicable,,No,Not applicable,Not applicable,12 months from the end of the MNE group’s reporting financial year,EUR750 million,Corporate Income Tax (CIT) Law and related rulebook on transfer pricing,180 days from the date of expiration of the period for which the tax is assessed,TP documentation required for domestic transactions; local language required. Safe harbor interest rates available. Multiyear analysis and weighted average mandatory for benchmarking. APAs not available. Thin capitalization rules (4:1 debt-to-equity) apply.
Romania,"No, only upon request",Not applicable (submission only upon request),Yes,"EUR50,000 for interest/financial services; EUR50,000 for services; EUR100,000 for tangible/intangible asset acquisitions/sales (cumulative annual value, excluding VAT)","For large taxpayers, by corporate income tax return deadline (25th day of 3rd month after tax year-end, prolonged to 6th month for 2021-2025)",Yes,"EUR50,000 for interest/financial services; EUR50,000 for services; EUR100,000 for tangible/intangible asset acquisitions/sales (cumulative annual value, excluding VAT)","Last day of reporting fiscal year, but no later than corporate income tax return deadline (25th day of 3rd month after tax year-end, prolonged to 6th month for 2021-2025)","Within 12 months from the last day of the reporting fiscal year (e.g., 31 December for calendar year groups)",EUR750 million consolidated income/turnover,"Various Fiscal Code laws, Government Decisions, and ANAF Orders related to TP documentation, APAs, CbCR, and accounting rules","For large taxpayers, by corporate income tax return deadline (25th day of 3rd month after tax year-end, prolonged to 6th month for 2021-2025); otherwise, upon request (30-60 days, extendable by 30 days)",TP obligations apply to domestic transactions. Annual TP documentation required for large taxpayers. Stand-alone reports for multiple entities. Documentation in Romanian. Penalties for non-compliance. 5-year statute of limitations (10 for fraud). Thin capitalization rules. Public CbCR implemented.
Rwanda,No,,No,,,Preparation by 31 March (tax return lodgment date); submission upon request within 7 days,No,,,Not specified; applicable where ultimate parent is required to prepare report,"Yes, local TP documentation required (Ministerial Order on Transfer Pricing Rules, 2020). Must be prepared contemporaneously. Turnover threshold of RWF600 million for documentation. Related-party disclosures required with CIT return.",Preparation by 31 March (tax return lodgment date); submission upon request within 7 days; related-party disclosures with CIT return by 31 March.,"Rwanda largely relies on OECD TP Guidelines. BEPS Action 13 not adopted, but CbCR is required where ultimate parent files. BEPS Action 13 format report largely sufficient for penalty protection, but additional local info needed. Local TP documentation required, prepared contemporaneously, submitted within 7 days of request. Turnover threshold for documentation is RWF600 million. Related-party disclosures required with CIT return. APAs not available. MAP available in DTT context. Thin capitalization rules apply (4:1 debt-to-equity ratio)."
Saudi Arabia,No (submitted upon request),30 days upon request,Yes,SAR6 million (tax entities) / SAR100 million (Zakat entities),30 days upon request,Yes,SAR6 million (tax entities) / SAR100 million (Zakat entities),120 days of fiscal year-end,12 months from MNE group reporting year-end,SAR3.2 billion (approx. EUR750 million),"Master File, Local File, CbCR, TP Disclosure Form, and auditor's affidavit are required. Dual CbCR notification (with disclosure form and AEOI portal).","120 days of fiscal year-end (for TP Disclosure Form, affidavit, and CbCR notifications)","TP Bylaws effective 2019, largely follows OECD. Domestic transactions included. MF/LF have specific local requirements (e.g., SWOT, local comparables, no loss-making comparables). General ITL penalties apply. APAs available from 2024. MAP available. Thin capitalization rules exist. Benchmarking prefers local comparables, multi-year analysis, interquartile range, weighted average, and excludes loss-making comparables. Aggregation of transactions preferred."
Senegal,No,By time of tax audit,Yes,XOF5 billion turnover/gross assets,Upon request (20 days),Yes,XOF5 billion turnover/gross assets,31 December,31 December,XOF492 billion,"Arm's-length principle, annual declaration of foreign related-party transactions, CbCR, TP documentation, thin capitalization rules, annual TP return, stand-alone reports for multiple entities",30 April,"Domestic transactions follow arm's-length (no documentation); OECD Guidelines limited reliance; BEPS Action 13 adopted; MCAA signatory; TP documentation in French, provided upon request (20 days); Penalties for non-compliance; 4-year statute of limitations; APAs and MAP available; Thin capitalization rules; No Public CbCR"
Singapore,No,,No,Not specified,,No,"Gross revenue > SGD10 million OR required in prior period; transaction-specific thresholds: SGD15 million for goods/loans, SGD1 million for other transactions",Within 3 months from end of FY (for Singapore-headquartered MNEs from FY beginning on or after 1 Jan 2022),Within 12 months from end of FY,SGD1.125 billion (consolidated revenues),"Mandatory contemporaneous TP documentation (covering group and entity-level details) required annually, with a 3-year refresh cycle possible if conditions are met.",By tax return lodgment date (30 November),"Mandatory contemporaneous TP documentation (annual, 3-year refresh possible); penalties for non-compliance (fines up to SGD10,000, 5% surcharge); APAs available; no thin capitalization rules; no Public CbCR; domestic transactions and safe harbors apply."
Slovakia,"No, only upon request",15 days upon request,"Yes, upon request",Not applicable,15 days upon request,"Yes, upon request","Value of international transactions; EUR10k (safe harbor), EUR1M (basic), EUR10M (full)",3 months after fiscal year-end (if changes from previous year),12 months after fiscal year-end,EUR750 million global consolidated income,"Annual preparation of TP documentation (full, basic, shortened) for cross-border and certain domestic transactions, submitted upon request. Related-party disclosures in corporate income tax return. Economic analysis required for full documentation. Specific benchmarking rules apply. Thin capitalization rules restrict interest deduction to 25% of EBITDA.",15 days upon request,OECD Guidelines are soft law. BEPS Action 13 report provides penalty protection. Penalties for non-compliance and adjustments (median value for adjustments from 2023). Statute of limitations is 10 years. APAs and MAP available. Public CbCR applies from 22 June 2024 for EUR750M threshold.
Slovenia,No,Three months after fiscal year-end,Yes,None,Three months after fiscal year-end,Yes,None,Three months after fiscal year-end,12 months after fiscal year-end,EUR750 million annual global income,"Comprehensive TP rules (Master File, Local File, CbCR). Documentation in Slovenian, safe harbor for related-party loans. Related-party disclosures with CIT return. Interest Limitation Rule and general anti-avoidance rules for thin capitalization.",Three months after fiscal year-end,"Penalties for non-furnishing-incomplete documentation up to EUR30,000. Statute of limitations 5-10 years, documentation archived for 10 years. APAs and MAP available. Public CbCR applies (EUR750M+ threshold, effective FYs starting 22 June 2024, due 12 months after FYE)."
South Africa,"Yes, if thresholds met",12 months after financial year-end,Yes,ZAR100 million (total international related-party transactions),12 months after financial year-end,Yes,ZAR100 million (total international related-party transactions),12 months after financial year-end,12 months after financial year-end,ZAR10 billion (EUR750 million) annual global income,"Yes, documentation required annually and contemporaneously, stand-alone reports for each entity. Based on Section 31 of Income Tax Act, PN 7, IN 127, IN 128.",12 months after financial year-end (or 21 business days upon request),"APAs not yet available but proposed. MAP available. Penalties for non-compliance (up to ZAR16,000-month for documentation, ZAR250-ZAR16,000-month for CbCR, up to 200% for understatement). Statute of limitations is 5 years. Benchmarking studies updated annually, redone every 3 years. No Public CbCR."
South Korea,"Yes, if thresholds are met",12 months from fiscal year-end (31 December),Yes,Revenue > KRW100 billion AND cross-border related-party transactions > KRW50 billion,12 months from fiscal year-end,Yes,Revenue > KRW100 billion AND cross-border related-party transactions > KRW50 billion,6 months from fiscal year-end (30 June),12 months from fiscal year-end (31 December),Consolidated group revenue > KRW1 trillion (domestic UPE) or EUR750 million (foreign UPE),"Annual preparation of contemporaneous documentation, specific disclosure forms, and BEPS Action 13 reports (Master File, Local File, CbCR) if thresholds are met, based on Adjustment of International Taxes Act and related regulations.",Contemporaneous with CITR filing (3 months from fiscal year-end); submission within 30 days upon request.,"Penalties for non-filing (KRW30M per report) and adjustments (10% underreporting, 0.022% daily underpayment). Penalty relief possible with contemporaneous documentation. Statute of limitations 7-10 years. APAs available with roll-back. Thin capitalization rules (2:1 D-E, 30% net interest deduction). Local language (Korean) required for LF/MF, with 1-month grace for MF English submission."
South Sudan,No,,No,,No specific deadline,No,No,,,No CbCR requirement,"TP documentation guidelines exist, must be prepared contemporaneously and submitted upon request (typically 7 days). Annual preparation not explicitly required but taxpayers must keep separate documentation for each cross-border related-party transaction. English language required. Priority of methods: CUP, then resale-price or cost-plus. Local/regional comparables preferred. Single-year analysis preferred. Simple average for benchmarking.",No specific preparation deadline; submission within 7 days upon request,"OECD Guidelines broadly followed. BEPS Action 13 not adopted. No CbCR, Master File, or Local File required. No TP-specific return. Related-party disclosures required in financial statements (IFRS). Audited financial statements required. Corporate tax return deadline: 1 April. No thin capitalization rules or APA program. Statute of limitations: 3 years. TP audits are rare as the tax system is new. Penalties for non-contemporaneous-incomplete documentation include additional tax, late-payment penalty, and interest."
Spain,Yes,Available by the end of the voluntary period for filing the CIT return,Yes,EUR45 million (consolidated revenues of the group in previous fiscal year),Available by the end of the voluntary period for filing the CIT return; submit within 10 days upon request,Yes,"EUR250,000 (total quantum of all controlled transactions between same counterparties)",Before the end of the Fiscal Year,12 months following the end of the fiscal year,EUR750 million (consolidated revenues of the group in previous fiscal year),"Yes, based on Corporate Income Tax Law and Regulations; contemporaneous and annual documentation required; specific TP return (Form 232) for related-party transactions.","Within one month after a 10-month period after the end of the fiscal year (e.g., 30 November for 31 December year-end)","Spanish tax authorities prioritize detailed, localized TP documentation, preferring local comparables and adjusting to the median. Penalties for incomplete/non-contemporaneous documentation are 15% of gross adjustment. PCbCR applies from FYs beginning after 22 June 2024 (EUR750m threshold), with public availability within 6 months."
Sri Lanka,"No, upon request",Within 60 days upon request,Upon request,EUR50 million (or LKR equivalent),Within 60 days upon request,Upon request,LKR200 million (aggregate controlled transactions),31 December of the reporting fiscal year,12 months after the last day of the reporting fiscal year,EUR750 million (or LKR equivalent),"Based on Inland Revenue Act (IRA) Sections 76, 77, 78 and TP regulations. Adopts OECD's three-tiered documentation (Master File, Local File, CbCR). Applies to domestic transactions under specific conditions. Annual preparation of documentation and filing of a TP Disclosure Form are required. Prescribed methods include CUP, Resale Price, Cost-Plus, Profit-Split, TNMM. Interquartile range is mandatory. Benchmarking searches every 3 years, annual updates.",30 November following the end of each year of assessment (for preparation),"Penalties for non-compliance (up to 1-2% of transaction value, LKR250k, 200% of incremental tax). Statute of limitations is 30 months. APAs (unilateral, bilateral, multilateral) available for up to 4 years with roll-back. MAP available. Thin capitalization debt-to-equity ratio 4:1. Economic analysis required for transaction categories > LKR200 million. Adjustments to median of arm's-length range. No safe harbor."
Sweden,No,By income tax return due date of group parent entity,No,Not required if <250 employees AND (turnover <= SEK450m OR balance <= SEK400m),By Swedish tax return due date of the Swedish entity,No,Not required if <250 employees AND (turnover <= SEK450m OR balance <= SEK400m),Before end of reporting year (generally 31 December),Within 12 months after end of financial year (generally 31 December),SEK7 billion annual global income,"Various Income Tax, Tax Procedure, and Advance Pricing Agreements Acts; OECD Master File-Local File concept",By Swedish tax return due date,"General tax penalties (10%-40%) apply for TP adjustments (typically 40%). Bilateral/multilateral APAs and MAPs are available. Public CbCR applies for financial years starting after 31 May 2024, with a global consolidated income threshold of SEK8 billion in two consecutive years."
